,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,5.4769096,7.0508657,11.001282,9.242111,7.5921173,11.717455,14.450181,10.039826,10.44313,8.352209,10.210809,4.0200987,10.861779,34.44057,13.016716,13.78866,6.180971,10.527227,7.771876,8.163351,8.016902,6.6587815,12.022793,9.40699,8.3517885,12.923536,8.3747635,4.8321114,11.602593,12.821789,7.019096,2.4495857,3.6540387,10.634244,6.2446713,11.320971,9.823144,7.3908815,7.5201626,7.3739543,7.3114457,5.6140976,9.34107,11.108052,11.657645,6.468938,10.852517,10.395318,7.878697,8.06813,8.814217,4.502275,14.301001,6.529206,7.2824006,8.906758,10.334448,7.707499,20.908957,7.7527733,11.30438,7.3712816,12.283886,8.825913,11.118773,6.9218407,1.5069213,6.5489025,12.760564,11.444645,8.273202,5.9852047,11.888402,9.224389,7.9568014,8.501465,7.5994983,7.938743,11.242059,12.407924,8.019055,10.948208,8.508594,8.08984,8.119898,10.980009,11.14202,7.101782,12.42195,14.255775,11.000185,8.399784,22.935602,8.350895,6.276435,12.393321,9.546707,8.423756,8.812952,8.461872
1,13.860939,8.7097,8.302362,15.198274,-7.0799274,14.410213,16.128109,11.764774,15.923307,13.20225,12.479076,10.458183,16.234663,16.048367,-6.9892626,14.124414,15.50243,16.0139,6.1539803,15.464039,25.161491,11.960619,-2.9162169,11.357575,11.17284,10.578125,15.187003,11.350336,18.109009,16.894432,15.1971035,16.685446,9.116378,16.17864,8.864565,20.35344,10.709252,7.60491,12.509832,13.534698,8.729557,22.07849,19.332294,12.22397,11.556656,12.740968,7.8112297,13.067912,13.710665,8.492612,11.345601,15.81489,21.491955,15.971518,-8.648264,8.590441,3.725956,9.382136,18.00735,10.273216,25.504816,8.195235,30.567968,7.4137063,17.77733,16.378124,10.964235,15.645255,13.952984,6.3043866,14.0332985,26.27089,14.600874,15.019724,5.9545035,10.365815,11.211832,11.73896,17.831228,12.923431,15.644223,11.38674,11.562011,14.852925,13.019789,19.649963,11.136753,10.380627,25.485466,12.468819,15.998053,22.453478,12.828389,13.232912,4.5568085,11.869243,13.395297,11.108627,12.0746565,12.217531
2,15.992012,8.331772,12.821629,28.782602,-3.3441489,10.195564,16.869505,17.595722,16.025219,13.40236,32.7989,-3.9079509,25.217026,25.049152,10.581745,11.981027,0.8255203,8.707986,11.95833,11.393972,21.092772,16.761604,12.785769,26.108072,8.087086,9.341331,13.198098,10.939768,13.4875965,14.240941,8.905707,20.623219,9.796225,13.687459,28.045498,40.684917,13.637767,18.63095,3.033577,16.489481,8.614684,11.560269,9.361848,15.4159565,9.038,44.443806,12.06559,4.088063,11.031331,15.345161,3.577174,13.553669,14.76612,20.460999,8.774475,16.22169,15.108158,6.792189,11.676073,13.025542,18.135206,21.671083,18.039854,6.1636333,25.817608,2.2296464,13.078876,20.701433,24.809341,12.613962,14.146537,9.827532,20.015408,2.7127242,2.3978593,8.918989,13.212966,7.232341,14.875735,19.918396,26.179361,8.919985,8.196942,19.757093,12.454359,15.420294,14.116156,22.801962,-3.356765,15.5524,13.899589,21.198715,13.577715,14.202495,9.750693,11.73878,20.360548,5.5454936,15.756578,10.412865
3,19.128473,32.3351,34.85343,36.240475,25.10098,16.196026,23.631742,28.578402,20.172989,16.530022,-9.965351,14.013039,29.74045,31.00136,19.255182,20.752008,44.28278,24.413876,0.7164699,20.665302,38.16425,4.0608606,41.766003,26.286436,34.17113,32.731228,40.82001,13.701407,26.548927,30.820587,22.329952,45.557903,15.371617,26.818932,15.722353,19.286217,10.683753,57.981625,29.99438,29.65812,38.49457,22.898932,48.93543,27.553728,31.386366,39.63101,22.131191,32.398277,28.197844,29.383818,19.46338,9.721519,19.480145,24.142235,2.584379,36.731613,7.1589317,32.51581,14.817591,30.722973,11.472811,24.288473,7.2895484,-1.1808105,28.505423,25.109386,18.68889,19.142471,45.316456,7.6504164,18.733103,29.495543,33.80449,18.356924,10.451053,34.26057,17.04264,15.775938,24.221111,20.754202,23.663803,29.782005,18.01369,29.467121,25.454641,36.103462,17.166067,14.197599,31.712168,20.262108,35.935852,6.262899,26.47169,23.011145,45.212555,40.033455,27.106989,25.596363,23.632202,21.31016
4,18.620724,11.784278,22.416697,31.062391,13.233769,20.550014,34.743355,9.710615,21.935717,44.655334,5.3604283,12.083628,27.066566,30.783556,11.361519,21.528051,16.426435,21.732029,27.309315,27.081808,27.91806,8.019569,23.014942,61.181576,28.163254,10.909775,9.762712,7.109911,23.398281,33.31125,8.55711,17.40501,12.268566,7.7298512,22.60621,41.17698,26.612225,-1.1719304,24.7193,23.085573,30.846907,10.4927845,-3.2215164,16.50229,19.865608,8.662871,10.59738,3.7342777,29.958212,15.935407,63.6063,36.029346,20.321953,33.352146,34.661934,7.7173758,28.922308,16.861399,19.541254,8.600559,11.1090555,23.005611,29.156677,5.314361,25.17353,23.127703,40.878197,19.473516,20.564735,18.475574,16.78318,31.065454,21.649782,23.32102,15.241834,20.219,8.107688,31.47967,19.228737,28.286734,30.680622,21.227945,23.881899,30.299767,29.481075,13.288458,24.879923,13.20554,-1.4177513,17.431244,33.259624,33.048855,44.07459,-13.278428,21.708992,1.9608748,28.554504,7.498408,15.057463,-43.770836
5,200.23862,22.90387,19.47682,18.024124,-1.345661,10.0996065,45.68435,7.2329974,32.089985,30.123388,10.983297,31.40978,29.10591,22.228855,17.483059,37.796116,9.461931,39.735565,40.35363,13.004528,-12.514632,-5.9645925,30.223608,56.2323,41.853218,21.908417,2.9892743,23.02499,12.481652,33.578697,19.035006,38.401695,24.401098,23.067152,17.466198,64.58618,26.631016,52.261715,46.968105,32.51797,30.426388,25.31803,15.1493,26.199118,9.034137,18.34414,32.821735,14.292446,-1.0576279,13.160412,32.67207,13.487069,37.905987,0.03891533,6.8558784,26.650513,17.019669,27.343727,20.681902,14.17447,9.561934,7.69807,8.453721,34.3925,30.25652,2.108627,20.570974,23.219015,47.155087,26.287308,22.690802,41.94762,33.109142,7.4634633,18.383434,54.96257,26.73474,22.805286,22.233755,-88.33855,47.848316,17.463366,39.346264,44.96451,36.259026,20.875715,39.52237,26.958525,-3.1169207,5.3826375,38.677658,24.503122,15.064473,17.638239,-8.404684,14.7860565,34.22485,24.058903,26.118166,18.294355
6,17.440876,6.083754,8.283368,16.81336,5.1829653,10.115004,19.952087,11.353375,9.048515,9.419697,5.0964932,2.7709298,28.504015,18.808205,4.475015,9.244021,12.641307,13.839925,1.7684234,8.976703,11.044583,3.7755883,27.600658,26.724955,15.935665,15.7034445,9.285767,10.364569,11.837885,16.168577,10.363036,19.221622,5.500499,21.858511,0.83131397,4.177747,6.152766,8.675299,20.491175,5.4206824,5.92292,11.929662,8.654113,-2.935317,8.059863,4.9384503,7.4401803,7.1775594,21.190683,4.889316,12.13127,11.461366,1.2662646,11.846283,2.9783556,14.772027,3.2119956,10.466257,17.84679,16.567041,31.204428,10.678917,15.412582,11.715209,13.021361,0.19406515,13.43797,18.557402,3.5317173,0.7194594,16.407104,27.109667,3.2543106,6.7332215,8.8093405,26.414371,-15.408568,10.257256,14.945541,3.172944,28.871786,4.6735044,7.1420956,13.743994,6.2955313,15.659585,11.129954,10.305212,8.72437,8.654341,18.014286,6.764345,19.469635,15.033637,6.9164305,14.972279,19.838823,6.1030993,-4.0881896,3.5033197
7,14.644347,7.3566275,4.582846,-2.183775,2.8603575,3.0537183,12.687245,4.950235,-1.6269273,8.400338,1.6215205,-0.027182246,-2.6684308,5.0531025,4.8587937,1.4967357,-1.0757675,5.6628466,5.7767982,11.524293,5.9855843,1.8275962,6.8296585,13.98353,12.214502,5.1526494,2.8685253,4.379855,5.7617607,9.137044,2.1693728,2.6683104,3.9623234,-2.7899466,4.1638403,16.407173,8.966632,10.485322,9.540947,2.7554362,4.2358856,6.903764,11.569607,1.8089961,3.7355154,4.4965963,0.8410548,3.0392694,2.4125001,4.449128,9.538394,0.9153598,5.1396146,1.015701,3.8525822,0.87105024,3.4840968,3.3705168,6.2769513,4.799352,4.1558585,4.2939453,5.4890428,3.8874946,11.091856,2.8039296,7.834588,7.8678823,11.638628,9.414221,9.982176,3.5845823,12.715894,2.7600062,0.417405,8.08497,2.0520055,2.7295892,3.767353,-1.2487385,8.522404,6.8191376,5.1615596,10.00354,1.6776004,5.009896,0.6017595,-0.27632776,1.8808516,6.922643,14.514235,5.088594,5.3730965,15.143617,3.4339812,3.387097,-14.366102,1.781588,2.457655,1.2140433
8,37.468353,21.135603,-6.8158293,13.57803,8.644144,2.3562732,17.519178,18.952515,12.077384,21.811607,8.095648,14.009263,54.946053,31.742819,10.277531,15.83233,17.976192,8.489364,22.258911,10.00104,10.191207,11.9565735,17.81275,18.085297,-0.36401528,15.0216675,10.022066,4.662972,7.685854,25.373453,10.056407,24.301384,13.289261,11.128264,10.670604,20.847157,11.676517,36.238976,14.203155,62.267426,-4.2688518,22.083338,21.85066,9.749185,15.108615,14.564517,20.36468,4.617333,-4.317669,10.448768,21.305914,15.539665,39.080704,3.6630642,9.844668,9.097478,8.87106,29.459108,5.184123,22.799282,21.451967,16.806383,25.357365,14.390026,10.906677,22.156755,98.71364,20.760202,20.24214,12.999629,15.62094,31.65235,5.795117,13.9866705,9.784305,-15.295079,25.653727,13.791721,14.986982,4.6795607,18.15708,10.508985,26.055857,25.873383,16.78104,6.225212,18.55884,14.669824,18.039598,21.082996,16.607122,14.87869,11.332514,9.401138,9.42017,10.865561,29.778265,20.151215,13.822956,6.885723
9,39.907814,9.623561,20.94481,-22.305914,12.702404,8.226404,24.81867,3.4613676,14.7370615,29.663193,18.543877,14.518891,-20.700054,6.8196864,17.432016,-0.57142365,13.4438505,18.993122,20.334501,27.053581,30.728172,17.654053,33.870346,15.617302,12.83,20.54697,19.553158,21.211271,7.996465,27.569742,9.850441,24.208942,9.872019,3.2165377,28.082071,32.057796,1.478033,42.076942,16.13856,56.021023,12.510747,18.09645,23.357939,16.366465,11.9970665,14.268609,18.133854,9.68792,23.561493,7.4065986,29.166859,33.834373,28.886297,4.6160746,22.219196,3.8533964,21.45066,3.968734,25.051796,35.828148,26.073177,13.291287,21.759539,15.912786,14.777774,20.610788,49.105206,24.533344,53.56665,14.819002,70.813774,18.210245,22.042961,16.695358,19.941645,31.885645,21.846819,15.855609,22.624908,16.332247,60.767822,17.946136,12.62763,89.22422,8.250766,21.964115,11.39836,24.082226,19.451843,20.475643,32.187912,25.506136,20.847977,13.885909,8.342858,24.531244,32.055546,26.462118,13.82873,13.742227
