,item_id,forecast_start,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,ND,MSIS,QuantileLoss[0.1],Coverage[0.1],QuantileLoss[0.5],Coverage[0.5],QuantileLoss[0.9],Coverage[0.9]
0,,2019-08-18,295.77795794025155,4497.86083984375,4124.1337890625,12.968974179441824,14.040041386858212,1.0074198563784411,1.0322641807027382,1.0726279972484276,1.0906195640563965,7.808097159501605,2713.673487749696,0.41823899371069184,4497.860903501511,0.7421383647798742,1940.8608672142027,0.9245283018867925
1,,2019-08-18,277.1141411163522,4348.76025390625,4754.9189453125,14.952575299724844,14.581586301428086,0.9378504113134579,3.424926192672164,1.0376125311701552,0.9145813584327698,7.365181514146765,2218.3611045956613,0.3270440251572327,4348.76056432724,0.6383647798742138,2230.292226696014,0.8490566037735849
2,,2019-08-18,333.9457547169811,4938.8115234375,3861.62109375,12.143462558962264,6.101396474413465,2.5454588818178276,11.052734375,1.130126473288866,1.2789477109909058,19.93087676250083,3074.0740110464394,0.5031446540880503,4938.811429977417,0.7830188679245284,2179.925642585754,0.9056603773584906
3,,2019-08-18,606.2556014150944,6496.3408203125,7552.94580078125,23.751401889249212,5.364013754887793,3.808481046371063,1.2865037794237013,0.9582450434846698,0.860106885433197,31.048403232912968,3082.8117566227916,0.22955974842767296,6496.341269493103,0.6761006289308176,3149.4315271377563,0.9182389937106918
4,,2019-08-18,1031.2661163522012,8093.484375,10084.5625,31.7124606918239,5.642528981426386,4.5106031019412205,1.6645322934225881,0.8821255665905071,0.8025617599487305,36.61803391532274,3956.3044628739362,0.18238993710691823,8093.483868598938,0.6761006289308176,3829.1238990783686,0.9591194968553459
5,,2019-08-18,1007.3009040880503,8358.2021484375,11041.775390625,34.72256412146226,5.87151877550153,4.476466066071606,2.995593553520294,0.8508184660905562,0.7569618225097656,33.46363905764772,4023.9051416873936,0.2389937106918239,8358.202497005463,0.6635220125786163,3735.2848716735834,0.9465408805031447
6,,2019-08-18,948.5367531446541,7981.26318359375,10041.0703125,31.575692806603772,8.419219254717783,2.9810735578633962,3.2375326779290163,0.8076249608453715,0.7948617935180664,24.61861372314834,3550.1251058846715,0.2138364779874214,7981.263903141022,0.7578616352201258,4213.860437011717,0.9465408805031447
7,,2019-08-18,352.5133647798742,4972.287109375,6853.974609375,21.55337927476415,7.858864969398164,1.9896159364414423,2.936134158156988,0.9031803922833137,0.725460410118103,16.38808257772557,2149.5573630198837,0.12264150943396226,4972.286845445633,0.5943396226415094,2335.511186218261,0.9150943396226415
8,,2019-08-18,1215.0235849056603,9164.3466796875,10540.2490234375,33.145437180621066,3.024863659788337,9.527272463118615,2.976221877684708,0.8126890554368121,0.8694620728492737,87.38477141017434,3305.2217357873915,0.11949685534591195,9164.346280097961,0.7987421383647799,5126.701768493651,0.9968553459119497
9,,2019-08-18,714.8011988993711,6881.48046875,8699.4892578125,27.356884458529873,2.951148631417885,7.332695973871083,1.6094117203379066,0.8691291089327831,0.7910212278366089,61.69274267881479,2991.788340419531,0.16352201257861634,6881.479852199554,0.6635220125786163,3539.510886764526,0.9654088050314465
10,,2019-08-18,933.2083333333334,7799.1748046875,10071.166015625,31.670333382468552,3.080044919882693,7.9627757292298345,3.76879191848467,0.8167901189072327,0.7744063138961792,71.97158265977906,3353.237840986252,0.14150943396226415,7799.175199508667,0.6823899371069182,4268.749656295776,0.9559748427672956
11,,2019-08-18,440.8521029874214,5415.21826171875,7522.177734375,23.654646963443398,15.295497651734104,1.1133333894806585,1.1358313540862912,0.9678472362974155,0.7199003100395203,11.135101717367261,2810.7914183020594,0.0440251572327044,5415.218571424484,0.4371069182389937,2602.639475250244,0.9276729559748428
12,,2019-08-18,1810.090998427673,10443.517578125,19609.048828125,61.663675560141506,20.305218781876913,1.6173797780001273,3.5011772205627043,0.591026690021251,0.5325866341590881,15.733615197778434,5351.385677146911,0.13522012578616352,10443.518182754517,0.6540880503144654,5847.82884902954,0.9842767295597484
13,,2019-08-18,972.4057586477987,8275.669921875,10349.32421875,32.545044713050316,10.894134116797007,2.388819429995288,2.7127381669714095,0.9490717282085299,0.7996338605880737,18.498086642952224,3329.4645947098734,0.14150943396226415,8275.669229507446,0.5911949685534591,3896.5824207305905,0.9245283018867925
14,,2019-08-18,1215.314072327044,8922.7763671875,10571.923828125,33.245043484669814,7.548529943046582,3.71715359037316,2.9199317725929053,0.8639494698002653,0.8440068960189819,28.496352090195693,3891.501321737468,0.21069182389937108,8922.775778770447,0.6981132075471698,4237.3783390045155,0.9716981132075472
15,,2019-08-18,1353.473073899371,9633.3466796875,15591.0712890625,49.02852606623428,7.351083018106086,4.120963257151457,2.2745064130795547,0.680673323337387,0.617875874042511,34.31884251014151,4522.58851928711,0.14150943396226415,9633.346755027771,0.6383647798742138,4690.270212936401,0.9465408805031447
16,,2019-08-18,850.7313286163522,7850.41796875,9660.3623046875,30.378497813482703,15.847457019296158,1.5577798335893365,0.812056337084089,1.0300506015993514,0.8126422166824341,10.585306150559028,3607.3873446911575,0.23270440251572327,7850.418447971344,0.5188679245283019,3839.6968019485466,0.8113207547169812
17,,2019-08-18,8.080356046088836,153.77493286132812,127.11699676513672,0.3997389835381658,3.723009220396974,0.12988658975453102,0.9751991271972656,1.9954586388929836,1.2097117900848389,4.933103916010917,61.4598282996798,0.5660377358490566,153.77493853167107,0.6666666666666666,238.65310890343974,0.7547169811320755
