,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,19.414993,19.983372,10.854695,14.124024,-3.1880627,10.863877,6.0159144,13.279626,-11.016343,15.951166,15.578931,13.662067,11.579711,-8.156036,14.235106,14.480576,21.202286,-11.115014,15.1823635,12.738881,4.943919,12.905039,15.447961,22.885721,11.650326,13.562159,12.702441,13.538118,23.099903,44.79609,10.870395,25.496315,4.33484,6.542611,25.10879,18.189276,12.56163,1.7911087,12.732389,10.556125,11.35814,6.2468824,13.365618,1.4568007,9.873205,14.74199,5.4014363,13.702159,5.6371303,9.001681,17.77781,17.343803,0.15826806,22.396631,10.52246,6.425193,11.417744,4.512782,15.523494,8.7157545,14.868639,10.789257,4.389956,6.5128493,-34.85416,9.269572,1.4806056,23.531164,14.530963,13.393942,3.7229104,9.947176,4.4663014,10.948034,4.32947,21.715347,13.267993,7.248806,4.0948086,9.209069,12.933478,14.327536,15.628323,9.80742,14.73772,12.04478,10.2074375,5.590403,5.8372283,7.631911,20.989687,0.93753755,19.676834,37.45168,11.419501,13.758454,15.4914465,11.381163,9.97619,0.12418148
1,19.202738,12.295459,27.498568,13.1993475,17.906378,13.967202,10.947441,9.654128,5.6477895,13.760449,10.903916,14.740073,16.296135,4.7135262,-2.235915,3.6571932,13.73093,8.039369,12.305916,11.150112,20.859531,42.55393,17.021345,1.882456,17.239546,16.372843,8.676302,34.28561,20.649897,18.244913,15.181319,13.223055,18.124914,4.3075314,6.3558016,10.645338,8.763276,13.760001,14.687653,15.6876545,11.538168,9.434091,8.819658,17.927773,1.9565629,8.787236,16.130108,8.045991,17.515316,18.81742,20.1398,7.311071,0.7154323,17.692719,9.278607,25.568413,29.394682,10.353238,-5.144947,14.042951,9.598294,17.543009,14.051314,10.18322,3.0332596,16.60037,10.463474,15.852163,13.879721,17.307135,17.599585,14.199571,46.350334,16.693785,9.329524,19.02612,12.38729,-28.96841,12.673376,-5.3760505,4.269721,25.990185,-8.778149,14.913818,12.601688,2.0012653,12.975125,7.1095057,-1.6734471,20.82185,19.814968,5.6624665,4.075178,14.122911,14.297176,12.97604,8.101424,23.52427,9.122871,12.976472
2,23.196651,9.150705,13.304507,-7.291952,19.893436,6.4097047,12.975826,10.302804,7.5514584,-27.115898,4.792005,9.117002,11.942493,2.1983333,4.40143,13.330974,5.6273847,16.291555,10.217314,9.102642,-2.4515023,7.077797,1.5156205,9.785142,-0.28204742,20.829264,10.4038105,6.3407497,11.883478,11.496112,16.969538,10.378404,3.4334674,9.248955,7.3380675,19.445564,9.655149,21.470694,11.097829,13.466272,-10.655942,12.885219,18.885113,10.975697,5.7318387,6.4687805,10.178801,15.760587,10.511076,1.8941253,-6.1779184,14.539392,14.359667,17.528925,14.719922,20.099361,10.222581,13.829275,12.826104,-18.590408,19.205976,9.879273,22.105114,14.202666,20.595213,14.108418,5.6148067,15.466043,7.882598,11.035768,0.41872254,3.8876023,11.857591,8.0871725,16.119463,14.307664,19.076134,5.7857122,6.3775525,11.211169,15.2925625,10.227319,9.169161,11.243323,9.75034,36.00271,11.208895,4.7160115,12.236686,4.961508,11.723925,14.382677,11.56964,2.3655565,1.9497943,13.683349,8.61818,10.050339,15.48155,9.453498
3,32.508568,13.710143,13.8603735,22.529385,14.951003,16.114826,26.506466,35.3589,25.039598,26.65645,22.439743,22.249262,32.07294,20.769053,24.602585,28.455044,19.224527,9.347279,37.853783,29.83218,21.507591,24.61554,23.616253,27.789787,21.908857,25.274872,24.57842,34.528946,27.261168,17.276299,24.364614,22.596867,18.123295,11.144174,31.667261,27.657003,32.123592,26.754442,27.14941,37.051884,28.85243,23.580814,14.352381,21.928522,33.387943,15.927937,25.933558,19.005562,16.954254,25.738707,21.012215,22.297922,21.20977,25.365067,16.145365,12.639067,16.42621,29.580446,14.512499,26.93033,33.021656,24.4305,14.154078,30.408062,13.376979,32.197193,22.259905,30.000704,12.181962,35.557735,26.389078,16.100294,24.780378,25.948336,36.019512,22.416466,26.291355,23.698502,20.041086,21.81934,40.461113,51.57652,14.2780285,41.44266,21.919468,23.142689,1.9438272,22.752602,10.313191,22.137222,7.229346,25.074839,33.99334,21.596283,36.728542,21.089184,23.032846,21.186855,27.001247,19.863462
4,22.324612,19.077475,15.870925,26.514935,6.3921475,22.170414,15.236669,14.58089,13.058285,21.047829,13.2770195,29.710884,22.726635,29.308607,14.831818,16.645247,16.926804,12.971047,13.195703,16.355185,19.919361,24.503845,9.347589,29.73754,11.893758,5.1775966,27.532284,21.225925,21.369953,21.08125,16.011106,4.3315344,17.475231,12.370489,31.771051,17.591537,11.557183,11.54797,20.305233,12.919132,19.065231,18.845821,19.698002,27.205551,5.94133,-21.154205,10.69983,20.207397,12.219944,14.047984,31.194141,15.624092,19.816801,19.551863,10.068188,13.656407,12.43853,15.486881,20.513247,16.561117,10.882467,-0.301205,14.803798,20.846594,9.921627,18.342243,16.39016,20.551687,19.981821,17.271933,16.876837,17.531288,12.435317,17.702213,55.178867,15.356878,24.715021,17.906036,14.300034,9.6628065,11.029042,31.508148,15.630566,21.849213,15.887928,25.00775,6.865833,14.437025,16.82711,14.301979,16.69751,15.564125,18.480608,28.926962,14.221241,18.017065,16.811918,14.652722,17.390038,31.657858
5,24.221844,10.520529,23.466276,28.032595,16.171099,25.829262,16.83886,32.898373,16.399805,27.729897,27.69684,26.642843,22.573496,26.524338,29.411343,29.108353,26.359707,19.922533,20.653938,14.427717,22.845999,33.36023,20.515512,26.177584,23.117275,24.114702,13.823672,18.138914,42.354244,46.7333,25.688843,25.300835,28.087582,32.68542,30.39533,27.6935,17.211926,26.158142,43.004856,24.722694,30.093288,20.690754,31.316166,22.861534,31.910828,33.18571,35.220123,17.588646,20.20031,17.181087,21.137218,27.210752,28.53882,8.038712,40.501175,22.6599,22.191483,26.507746,25.540287,25.777925,27.398373,17.31891,26.278551,24.250635,12.453964,31.86439,22.243448,27.313295,28.044752,28.003511,22.217203,11.468645,33.025333,16.572998,19.18944,23.473364,17.276592,34.04296,9.69921,24.171185,13.345749,35.816654,15.6228895,25.40364,22.499874,19.655514,35.142643,21.010502,28.800648,12.9251175,22.413038,41.295147,20.468437,28.31743,-1.4914981,34.972572,34.135162,12.615807,22.391247,18.997639
6,15.821422,9.925832,11.342571,8.998058,8.925919,-7.265344,9.650905,1.5450177,11.668964,12.499258,9.056068,16.36467,-2.7089832,12.063278,7.107551,13.426021,12.085467,13.652368,16.073008,13.173868,11.140121,10.619385,14.026494,9.015265,8.499467,16.748405,11.170104,9.070475,22.655325,21.251991,11.606636,7.307098,10.188457,8.640996,12.205689,8.22557,15.487946,7.067758,12.464251,7.2886963,11.65594,-5.408122,9.264479,13.950027,12.018571,10.090721,17.336847,7.826836,3.5125566,10.489167,7.487862,10.903573,9.399645,11.021783,15.1328745,12.004509,6.6341367,-0.10071532,14.811512,10.928516,13.2600155,11.663116,13.467646,13.663232,10.922078,6.320473,3.2020307,16.755484,15.747482,6.4450855,9.192607,11.813391,9.623626,24.722023,10.128895,23.592348,14.498414,-0.27846238,7.080524,13.761677,-0.45037243,13.689624,8.245134,16.99908,9.730605,10.3272295,-0.17521633,12.712795,12.548985,18.941063,20.355787,6.889955,9.28004,19.28502,13.341965,14.62283,12.376443,3.3670588,12.005102,14.068975
7,-5.5442686,30.631218,-1.3481067,-1.6209669,-9.632067,5.8890276,2.941331,13.315063,1.1993107,18.363092,2.565112,-2.7085848,6.133965,-0.7258605,2.806571,-2.5280855,6.196277,5.664254,-4.9508085,-16.982668,11.545979,-3.9120622,1.8484011,0.09702024,4.919008,-1.5230727,2.09367,4.59337,-0.53779685,3.3519473,-11.004138,-2.660976,0.4501122,1.5327408,7.32358,5.541083,-6.705847,-1.8512522,-4.7090406,-3.9005468,0.18618937,-3.1658757,2.503845,5.715733,3.1839168,9.157878,4.606036,3.261446,-6.0577474,-0.17855231,-0.5699943,4.8821692,1.4202362,5.847355,5.742298,-5.6812296,-7.683575,-3.7003782,6.8702693,-3.3380747,1.0406976,1.9943874,-5.841421,6.720153,7.8903823,-0.68404245,-1.6338793,3.3378136,2.1693385,0.90158993,9.675765,5.305919,-22.744219,7.087259,9.972639,3.0676026,-1.7971678,10.542399,5.84622,0.5176945,1.3544917,4.0060306,-0.9787531,3.277534,22.095795,9.386787,1.1794941,-9.306974,10.752965,-6.3889565,7.2866626,12.883462,3.8389795,5.086609,0.5946086,0.1825133,-3.973417,-1.1437224,0.6953364,15.925978
8,31.79031,16.054098,20.680538,13.31037,3.7022498,9.29009,17.040192,8.792199,10.096334,10.230284,-10.532919,17.115574,2.6353405,5.540425,9.9229,8.46971,3.9565296,-1.732419,5.903716,9.305917,8.392479,11.041039,3.542816,12.805675,6.114316,11.669706,9.859656,10.659303,17.175535,21.024387,15.927338,12.928492,19.294657,-1.2573487,13.607653,11.564725,12.437727,10.295573,16.534727,7.0253477,5.3371797,19.572138,6.2283063,7.165506,14.315466,20.563505,15.202304,6.927521,13.697898,16.178509,5.752307,9.870746,11.113937,16.932564,18.49708,17.217133,8.043477,17.75843,4.8363285,3.9169521,0.98161775,10.371888,15.149816,21.778687,15.056004,21.515562,23.481302,-2.1992002,13.100299,14.943617,14.23603,10.121458,10.752898,16.136848,-5.9494557,16.243982,-12.6846485,19.81616,8.325285,11.478586,11.59176,12.62418,11.274351,13.949613,13.658212,12.845203,15.395112,9.178039,17.593508,0.79466534,18.725615,14.439896,1.2318512,15.505771,10.433281,10.685301,0.65623367,18.62209,15.952389,9.8325205
9,2.4279253,18.476604,14.620016,17.351805,25.605862,9.135423,6.864844,22.716642,14.92424,14.228067,18.437073,23.513632,7.5199957,19.905642,11.228223,20.011831,13.419117,24.674137,24.32862,19.557896,16.179562,28.328583,23.551708,33.41396,23.557772,20.623032,36.45768,20.387756,29.819849,19.962036,12.528886,20.45138,18.887491,11.670285,11.407091,20.739075,17.707842,19.559694,20.47027,6.42003,13.166128,13.019642,18.492504,19.14157,20.466051,22.808113,22.620419,28.055672,17.946701,19.788347,19.300428,17.917397,16.224922,20.98793,19.373985,14.521253,24.141865,29.53297,20.264688,19.38235,22.355152,19.020527,17.640272,28.768045,22.748259,19.789677,18.485785,23.45285,38.202667,26.524988,20.474695,34.84729,23.243301,24.40505,11.190552,20.349033,10.290476,11.595007,13.675726,28.592339,24.146864,10.692669,21.040361,22.6211,21.281862,15.973205,20.018744,19.640537,28.967793,11.680534,9.955103,17.844595,19.128424,20.736242,13.551945,26.443129,17.85233,14.958507,21.272789,20.758236
